id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,authority,infraspecific_rank,infraspecific_name,infraspecific_authority,stock_subpopulation,synonyms,common_names_eng,common_names_fre,common_names_spa,red_list_status_id,red_list_criteria,red_list_criteria_version,year_assessed,population_trend,petitioned,mass,guild,wpi_include
6830,,2831,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,fasciata,"(Raffles, 1822)",,,,,,Red-legged Crake,,,8,,,,,,,,
6831,,2832,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallina,eurizonoides,"(Lafresnaye, 1845)",,,,,,Slaty-legged Crake,,,8,,,,,,,,
6832,,2833,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Anurolimnas,castaneiceps,"Sclater & Salvin, 1868",,,,,,Chestnut-headed Crake,,,8,,,,,,,,
6833,,2834,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Anurolimnas,viridis,"(Müller, 1776)",,,,,Laterallus viridis (11);,Russet-crowned Crake,,,8,,,,,,,,
6834,,2835,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Anurolimnas,fasciatus,"(Sclater & Salvin, 1867)",,,,,Laterallus fasciatus (11);,Black-banded Crake,,,8,,,,,,,,
6835,,2836,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,melanophaius,"(Vieillot, 1819)",,,,,,Rufous-sided Crake,,,8,,,,,,,,
6836,,2837,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,levraudi,"(Sclater & Salvin, 1868)",,,,,,Rusty-flanked Crake,,,4,,,,,,,,
6837,,2838,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,ruber,"(Sclater & Salvin, 1860)",,,,,,Ruddy Crake,,,8,,,,,,,,
6838,,2839,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,albigularis,"(Lawrence, 1861)",,,,,,White-throated Crake,,,8,,,,,,,,
6839,,2840,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,exilis,"(Temminck, 1831)",,,,,,Grey-breasted Crake,,,8,,,,,,,,
6840,,2841,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,jamaicensis,"(Gmelin, 1789)",,,,,,Black Rail,,,9,,,,,,,,
6841,,2842,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,tuerosi,"Fjeldså, 1983",,,,,,Junin Rail,,,4,,,,,,,,
6842,,2843,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,spilonotus,"(Gould, 1841)",,,,,,Galapagos Rail,,,5,,,,,,,,
6843,,2844,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,leucopyrrhus,"(Vieillot, 1819)",,,,,,Red-and-white Crake,,,8,,,,,,,,
6844,,2845,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Laterallus,xenopterus,"Conover, 1934",,,,,,Rufous-faced Crake,,,5,,,,,,,,
6845,,30091,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Nesoclopeus,poecilopterus,"(Hartlaub, 1866)",,,,,,Bar-winged Rail,,,1,,,,,,,,
6846,,2846,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Nesoclopeus,woodfordi,"(Ogilvie-Grant, 1889)",,,,,,Woodford's Rail,,,9,,,,,,,,
6847,,2848,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,australis,"(Sparrman, 1786)",,,,,,Weka,,,5,,,,,,,,
6848,,2849,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,lafresnayanus,"Verreaux & Des Murs, 1860",,,,,,New Caledonian Rail,,,3,,,,,,,,
